Date,DBC,EEM,EFA,GLD,IEF,IWM,LQD,QQQ,SHY,SPY,TLT,USO,VNQ,XLF,XLK
2018-01-11,14.733813285827637,41.42557144165039,58.161399841308594,125.44000244140625,87.84490203857422,142.8634490966797,92.14029693603516,155.16651916503906,71.25874328613281,244.4152069091797,100.73426818847656,101.5999984741211,58.83029556274414,24.99681282043457,61.46554946899414
2018-01-12,14.829940795898438,41.82258605957031,58.744869232177734,126.95999908447266,87.7861328125,143.462158203125,92.15556335449219,156.3068389892578,71.250244140625,246.008544921875,100.9044418334961,102.95999908447266,58.355201721191406,25.221155166625977,61.826480865478516
2018-01-16,14.760029792785645,41.662086486816406,58.68891143798828,127.16999816894531,87.82810974121094,141.62986755371094,92.23947143554688,155.86019897460938,71.24176788330078,245.1676788330078,101.32581329345703,102.08000183105469,58.46654510498047,25.15212631225586,61.58586883544922
2018-01-17,14.777508735656738,42.211158752441406,58.992637634277344,126.13999938964844,87.63502502441406,142.97230529785156,91.9877700805664,157.5421905517578,71.2161865234375,247.50442504882812,101.1880874633789,102.23999786376953,58.87482833862305,25.341960906982422,62.51125717163086
2018-01-18,14.777508735656738,42.26184844970703,58.92071533203125,125.86000061035156,87.35795593261719,141.99269104003906,91.62932586669922,157.5706329345703,71.19918823242188,247.0884246826172,100.24806213378906,102.08000183105469,58.11765670776367,25.30743980407715,62.622314453125
2018-01-19,14.751291275024414,42.60818862915039,59.24839782714844,126.41999816894531,87.13133239746094,143.86126708984375,91.34710693359375,158.0648193359375,71.22468566894531,248.21261596679688,99.72134399414062,101.76000213623047,58.42942810058594,25.488636016845703,62.74259567260742
2018-01-22,14.786247253417969,42.85315704345703,59.5521125793457,126.6500015258789,87.0977554321289,144.63226318359375,91.26319122314453,159.75624084472656,71.1906509399414,250.23085021972656,99.8186264038086,102.23999786376953,58.963897705078125,25.695722579956055,63.3533821105957
2018-01-23,14.891114234924316,43.05588912963867,59.74393844604492,127.27999877929688,87.3495864868164,145.09486389160156,91.65977478027344,161.07713317871094,71.2331771850586,250.7620086669922,100.24806213378906,103.76000213623047,59.78047180175781,25.721607208251953,63.630985260009766
2018-01-24,15.048413276672363,43.41912841796875,59.847835540771484,128.8300018310547,87.18169403076172,144.1968536376953,91.59878540039062,160.0318603515625,71.2161865234375,250.66452026367188,99.70514678955078,105.76000213623047,59.468711853027344,25.894176483154297,63.14054870605469
2018-01-25,14.961026191711426,43.39377975463867,59.61604690551758,127.97000122070312,87.37477111816406,144.2512969970703,92.06403350830078,159.97482299804688,71.19918823242188,250.77076721191406,100.52357482910156,104.4800033569336,59.36476516723633,25.842411041259766,63.029502868652344
2018-01-26,15.074629783630371,43.99354553222656,60.143558502197266,128.07000732421875,87.11451721191406,144.76834106445312,91.94197845458984,162.42648315429688,71.15662384033203,253.67416381835938,100.1508560180664,105.91999816894531,59.15693664550781,26.0322322845459,64.0289306640625
2018-01-29,15.030937194824219,43.32620620727539,59.59208297729492,127.3499984741211,86.896240234375,143.9519500732422,91.69795989990234,161.6377410888672,71.13109588623047,251.99232482910156,99.45394134521484,104.87999725341797,58.36260986328125,25.92868995666504,63.44591522216797
2018-01-30,14.926069259643555,42.734901428222656,59.09653854370117,126.80000305175781,86.69483184814453,142.57318115234375,91.38526153564453,160.3074188232422,71.13957214355469,249.4076690673828,98.8705062866211,103.19999694824219,57.93950271606445,25.592182159423828,62.87216567993164
2018-01-31,14.943548202514648,43.106571197509766,59.0166130065918,127.6500015258789,86.71997833251953,141.82943725585938,91.57593536376953,160.97259521484375,71.13957214355469,249.53152465820312,99.45394134521484,103.83999633789062,58.978763580322266,25.661209106445312,63.3441276550293
